_from,_to,transfer_type
stops/4664,stops/1792,0
stops/4664,stops/7656,0
stops/4666,stops/1792,0
stops/4666,stops/7656,0
stops/4667,stops/7704,0
stops/4667,stops/7706,0
stops/4668,stops/7704,0
stops/4668,stops/7706,0
stops/4693,stops/8023,0
stops/4693,stops/8024,0
stops/4695,stops/8023,0
stops/4695,stops/8024,0
stops/4707,stops/13126,0
stops/4707,stops/13137,0
stops/4709,stops/13126,0
stops/4709,stops/13137,0
stops/4715,stops/4715,0
stops/4724,stops/10838,0
stops/4724,stops/10842,0
stops/4730,stops/10838,0
stops/4730,stops/10842,0
stops/4760,stops/8025,0
stops/4760,stops/8026,0
stops/4761,stops/8025,0
stops/4761,stops/8026,0
stops/4787,stops/4787,0
stops/4817,stops/4817,0
stops/4817,stops/4818,0
stops/4818,stops/4817,0
stops/4818,stops/4818,0
stops/4935,stops/4935,0
stops/4935,stops/4937,0
stops/4937,stops/4935,0
stops/4937,stops/4937,0
stops/4943,stops/6203,0
stops/5006,stops/1114,0
stops/5006,stops/3054,0
stops/5006,stops/5006,0
stops/5006,stops/9759,0
stops/5006,stops/9820,0
stops/5006,stops/10168,0
stops/5006,stops/12792,0
stops/5007,stops/10767,0
stops/5012,stops/9633,0
stops/5012,stops/10759,0
stops/5012,stops/10767,0
stops/5020,stops/3639,0
stops/5020,stops/5020,0
stops/5020,stops/7614,0
stops/5020,stops/7634,0
stops/5020,stops/7640,0
stops/5020,stops/7646,0
stops/5020,stops/7767,0
stops/5020,stops/7789,0
stops/5020,stops/8334,0
stops/5020,stops/8382,0
